Office,,1811 E. Karcher Rd.,Space 1,Nampa,,ID,83687,3 083 SF,3 083 SF,Northside Nampa,Office Building,A,$0.86 - $220.83 /SF/Mo,,,Tom Koltes,19223925,Now
Industrial,,2200 Elder,Space 1,Nampa,,ID,83687,8 417 SF,8 417 SF,Northside Nampa,Warehouse,,$0.40 /SF/Mo,,,Ron Ramza,19022358,2/1/2016
Industrial,,900 E Karcher,Space 1,Nampa,,ID,83687,248 100 SF,248 100 SF,Northside Nampa,Manufacturing,,$0.35 /SF/Mo,,,Ron Van Auker,19020683,Now
Industrial,,1616 Industrial Road,1,Nampa,,ID,83687,10 850 SF,10 850 SF,Northside Nampa,Warehouse,,$0.45 /SF/Mo,10 850 SF,,Thornton Oliver Keller Commercial Real Estate,18539352,Now
Office,,5465 Terra Linda Way,Space 1,Nampa,,ID,83687,2 215 SF,200 SF,Northside Nampa,Office Building,B,$1 - $16.67 /SF/Mo,850 SF,,Lincoln Hagood,18537605,Now
Office,,5465 Terra Linda Way,2,Nampa,,ID,83687,2 215 SF,350 SF,Northside Nampa,Office Building,B,$0.75 - $21.83 /SF/Mo,350 SF,,Lincoln Hagood,18537605,Now
Office,,5465 Terra Linda Way,3,Nampa,,ID,83687,2 215 SF,815 SF,Northside Nampa,Office Building,B,$0.75 - $60 /SF/Mo,815 SF,,Lincoln Hagood,18537605,Now
Office,,5465 Terra Linda Way,4,Nampa,,ID,83687,2 215 SF,850 SF,Northside Nampa,Office Building,B,$0.55 - $60 /SF/Mo,850 SF,,Lincoln Hagood,18537605,Now
Office,,1545 11th Avenue North,1545 11th Ave. North,Nampa,,ID,83651,108 320 SF,15 163 SF,Northside Nampa,Office Building,B,$0.83 /SF/Mo,15 163 SF,,The Sundance Company,17433853,Now
Industrial,,1428 Madison Street,Covered,Nampa,,ID,83651,143 102 SF,25 260 SF,Northside Nampa,Manufacturing,,$0.05 /SF/Mo,25 260 SF,,Thornton Oliver Keller Commercial Real Estate,18445441,Now
Industrial,,1428 Madison Street,BTS,Nampa,,ID,83651,143 102 SF,300 000 SF,Northside Nampa,Manufacturing,,Negotiable,300 000 SF,,Thornton Oliver Keller Commercial Real Estate,18445441,Now
Industrial,,1428 Madison Street,Whse 1,Nampa,,ID,83651,143 102 SF,20 710 SF,Northside Nampa,Manufacturing,,$0.35 /SF/Mo,20 710 SF,,Thornton Oliver Keller Commercial Real Estate,18445441,Now
Industrial,,1428 Madison Street,Whse 3,Nampa,,ID,83651,143 102 SF,20 000 SF,Northside Nampa,Manufacturing,,$0.35 /SF/Mo,20 000 SF,,Thornton Oliver Keller Commercial Real Estate,18445441,Now
Industrial,,1428 Madison Street,Office,Nampa,,ID,83651,143 102 SF,9 706 SF,Northside Nampa,Manufacturing,,$0.05 - $0.55 /SF/Mo,9 706 SF,,Thornton Oliver Keller Commercial Real Estate,18445441,Now
Industrial,,1428 Madison Street,Whse 5,Nampa,,ID,83651,143 102 SF,16 080 SF,Northside Nampa,Manufacturing,,$0.05 - $0.55 /SF/Mo,16 080 SF,,Thornton Oliver Keller Commercial Real Estate,18445441,Now
Industrial,,1428 Madison Street,Whse 7,Nampa,,ID,83651,143 102 SF,2 920 SF,Northside Nampa,Manufacturing,,$0.05 - $0.55 /SF/Mo,2 920 SF,,Thornton Oliver Keller Commercial Real Estate,18445441,Now
Industrial,,1428 Madison Street,Lean-to,Nampa,,ID,83651,143 102 SF,6 750 SF,Northside Nampa,Manufacturing,,$0.05 - $0.55 /SF/Mo,6 750 SF,,Thornton Oliver Keller Commercial Real Estate,18445441,Now
Industrial,,1428 Madison Street,Cold,Nampa,,ID,83651,143 102 SF,2 480 SF,Northside Nampa,Manufacturing,,$0.05 - $0.55 /SF/Mo,2 480 SF,,Thornton Oliver Keller Commercial Real Estate,18445441,Now
Industrial,,1428 Madison Street,Whse 4,Nampa,,ID,83651,143 102 SF,40 000 SF,Northside Nampa,Manufacturing,,$0.05 - $0.55 /SF/Mo,40 000 SF,,Thornton Oliver Keller Commercial Real Estate,18445441,Now
Industrial,,1428 Madison Street,All,Nampa,,ID,83651,143 102 SF,127 022 SF,Northside Nampa,Manufacturing,,Negotiable,127 022 SF,,Thornton Oliver Keller Commercial Real Estate,18445441,Now
Industrial,,1428 Madison Street,Greenhouse,Nampa,,ID,83651,143 102 SF,2 239 SF,Northside Nampa,Manufacturing,,$0.05 - $0.55 /SF/Mo,2 239 SF,,Thornton Oliver Keller Commercial Real Estate,18445441,Now
Industrial,,16989 Madison Road,1,Nampa,,ID,83687,84 000 SF,84 000 SF,Northside Nampa,Flex Space,,$0.35 /SF/Mo,84 000 SF,,Thornton Oliver Keller Commercial Real Estate,18993067,Now
Industrial,,16989 Madison Rd.,1,Nampa,,ID,83687,50 000 SF,50 000 SF,Northside Nampa,Flex Space,,$0.35 /SF/Mo,50 000 SF,,Thornton Oliver Keller Commercial Real Estate,18993068,Now
Industrial,,2107-2111 Industrial Road,1,Nampa,,ID,83651,10 623 SF,10 623 SF,Northside Nampa,Warehouse,,$0.38 /SF/Mo,10 623 SF,,Thornton Oliver Keller Commercial Real Estate,18799940,Now
